name,college_type,college_years,acceptance_rate_pct,sat_25th_percentile,sat_75th_percentile,sat_50th_percentile,act_25th_percentile,act_75th_percentile,act_50th_percentile,graduation_rate_pct,retention_rate_pct,pct_receiving_aid_pct,avg_after_aid_val,avg_after_aid_costs_val,avg_aid_package_val,avg_housing_cost_val,undergrad_students_num,student_faculty_ratio_num,num_majors_num,college_board_code_num,college_score,setting,rd_due_date,test_optional,gpa_optional
Atlantic University,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,25000,20000,12000,5000,,,,55,Urban,2024-01-15,Yes,
Auburn University,Public,,0.8,,,1230,,,27,0.7,0.88,0.6,8500,31000,8500,13000,30000,,,,48,Suburban,2024-01-15,Yes,
Auburn University at Montgomery,Public,4,0.98,1028,1195,1112,18,24,21,0.36,0.68,0.55,15,15458,2845,13167,3289,13.0,52,1036,34,Urban,August 1,Recommended,Required
Audrey Cohen College,Private For-Profit,,0.7,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,1000,,,,43,Urban,Rolling,Yes,
Augsburg College,Private,,0.5,,,1150,,,25,0.6,0.75,0.75,25000,40000,25000,13000,3000,,,,52,Urban,2024-01-15,Yes,
Augusta State University,Public,,0.6,,,1100,,,25,0.55,0.75,0.6,7000,22000,7000,12000,7000,,,,49,Urban,2024-01-01,Yes,
Augustana College,Private,,0.6,,,1200,,,25,0.7,0.8,0.7,20000,40000,20000,13000,2500,,,,50,Suburban,2024-01-15,Yes,
Augustana College,Private,,0.6,,,1200,,,25,0.7,0.8,0.75,20000,35000,20000,12000,2000,,,,50,Urban,2024-01-15,Yes,
Aurora University,Private,,0.5,,,1150,,,24,0.6,0.75,0.7,15000,32000,15000,12000,4000,,,,51,Suburban,2024-01-15,Yes,
Austin College,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,40000,20000,12000,1300,,,,52,Suburban,2024-01-15,Yes,
Austin Community College,Public,,0.7,,,1100,,,25,0.5,0.7,0.6,7000,24000,7000,12000,40000,,,,44,Urban,Rolling,Yes,
Austin Peay State University,Public,,0.6,,,1100,,,24,0.5,0.7,0.6,8000,23000,8000,12000,10000,,,,48,Suburban,2024-01-15,Yes,
Ave Maria University,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,20000,20000,12000,1000,,,,52,Rural,2024-01-15,Yes,
Averett College,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,1000,,,,46,Rural,2024-01-15,Yes,
Avila College,Private,,0.5,,,1150,,,24,0.6,0.7,0.7,15000,23000,15000,12000,1000,,,,48,Urban,2024-01-15,Yes,
Azusa Pacific University,Private,,0.55,,,1250,,,27,0.68,0.78,0.75,20000,35000,20000,13000,6000,,,,54,Suburban,2024-01-15,Yes,
Babson College,Private,,0.2,,,1400,,,32,0.87,0.93,0.85,20000,57000,20000,15000,3000,,,,71,Suburban,2024-01-01,Yes,
Baker College of Auburn Hills,Private For-Profit,,0.7,,,1100,,,24,0.5,0.7,0.6,8000,15000,8000,12000,2000,,,,42,Suburban,Rolling,Yes,
Baker College of Cadillac,Private For-Profit,,0.7,,,1100,,,24,0.6,0.7,0.6,8000,12000,8000,12000,1500,,,,43,Rural,Rolling,Yes,
Baker College of Flint,Private For-Profit,,0.7,,,1050,,,21,0.5,0.7,0.6,8000,12000,8000,12000,2000,,,,40,Urban,Rolling,Yes,
Baker College of Mount Clemens,Private For-Profit,,0.7,,,1100,,,25,0.5,0.7,0.6,8000,15000,8000,12000,2000,,,,43,Suburban,Rolling,Yes,
Baker College of Muskegon,Private For-Profit,,0.7,,,1050,,,21,0.5,0.7,0.6,8000,12000,8000,12000,2000,,,,40,Suburban,Rolling,Yes,
Baker College of Owosso,Private For-Profit,,0.7,,,1050,,,21,0.5,0.7,0.6,8000,12000,8000,12000,1000,,,,39,Suburban,Rolling,Yes,
Baker College of Port Huron,Private For-Profit,,0.7,,,1050,,,21,0.5,0.7,0.6,8000,12000,8000,12000,1500,,,,39,Suburban,Rolling,Yes,
Baker University,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,30000,15000,12000,1000,,,,46,Rural,2024-01-15,Yes,
Baldwin-Wallace College,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,35000,20000,13000,3000,,,,54,Suburban,2024-01-15,Yes,
Ball State University,Public,,0.7,,,1120,,,24,0.6,0.76,0.6,8000,29000,8000,12000,22000,,,,47,Suburban,2024-01-15,Yes,
Baltimore Hebrew University,Private,,0.5,,,1150,,,24,0.7,0.8,0.7,20000,25000,20000,12000,500,,,,50,Urban,Rolling,Yes,
Baltimore International College,Private For-Profit,,0.7,,,1100,,,24,0.6,0.7,0.7,10000,20000,10000,12000,1000,,,,42,Urban,Rolling,Yes,
Bank Street College of Education,Private,,0.5,,,1200,,,25,0.85,0.8,0.8,20000,30000,20000,15000,1000,,,,54,Urban,2024-01-15,Yes,
Baptist Bible College of Missouri,Private,,0.6,,,1100,,,25,0.65,0.75,0.7,15000,20000,15000,12000,800,,,,47,Urban,Rolling,Yes,
Baptist Bible College of Pennsylvania,Private,,0.6,,,1100,,,25,0.7,0.75,0.8,20000,20000,20000,12000,800,,,,48,Suburban,2024-01-15,Yes,
Barat College,Private,,0.5,,,1150,,,24,0.65,0.75,0.7,15000,25000,15000,12000,1000,,,,50,Suburban,2024-01-15,Yes,
Barber-Scotia College,Private,,0.7,,,1000,,,20,0.5,0.7,0.75,15000,20000,15000,12000,500,,,,38,Urban,Rolling,Yes,
Barclay College,Private,,0.7,,,1100,,,24,0.6,0.7,0.8,15000,20000,15000,12000,300,,,,42,Rural,2024-01-15,Yes,
Bard College,Private,,0.65,,,1350,,,30,0.85,0.9,0.75,25000,57000,25000,15000,2500,,,,55,Rural,2024-01-15,Yes,
Bard Graduate Center for Studies in the Decorative Arts,Private,,0.3,,,1350,,,30,0.85,0.9,0.8,20000,50000,20000,15000,3000,,,,66,Urban,2024-01-15,Yes,
Barnard College - Columbia University,Private,,0.12,,,1450,,,32,0.93,0.95,0.6,40000,61000,40000,16000,2500,,,,78,Urban,2024-01-01,Yes,
Barry University,Private,,0.5,,,1150,,,24,0.65,0.75,0.8,20000,32000,20000,12000,7000,,,,53,Suburban,2024-01-15,Yes,
Bartlesville Wesleyan College,Private,,0.6,,,1100,,,25,0.65,0.75,0.7,15000,20000,15000,12000,800,,,,47,Suburban,2024-01-15,Yes,
Barton College,Private,,0.5,,,1100,,,25,0.6,0.75,0.7,15000,30000,15000,12000,1000,,,,50,Suburban,2024-01-15,Yes,
Bastyr University,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,15000,20000,15000,12000,1000,,,,52,Suburban,2024-01-15,Yes,
Bates College,Private,,0.15,,,1380,,,32,0.88,0.92,0.75,25000,60000,25000,15000,2000,,,,77,Suburban,2024-01-01,Yes,
Bauder College,Private For-Profit,,0.7,,,1050,,,21,0.6,0.75,0.8,15000,20000,15000,12000,800,,,,41,Urban,Rolling,Yes,
Baylor College of Dentistry,Public,,0.4,,,1300,,,28,0.85,0.9,0.6,10000,45000,10000,12000,1000,,,,60,Urban,2024-01-15,No,
Baylor College of Medicine,Private,,0.15,,,1450,,,32,0.85,0.95,0.7,20000,60000,20000,15000,2000,,,,76,Urban,2024-01-15,No,
Baylor University,Private,,0.5,,,1300,,,28,0.7,0.8,0.7,20000,50000,20000,13000,17000,,,,58,Suburban,2024-01-15,Yes,
Belhaven College,Private,,0.5,,,1100,,,24,0.6,0.7,0.7,20000,21000,20000,12000,1500,,,,49,Urban,2024-01-15,Yes,
Bellarmine College,Private,,0.55,,,1200,,,25,0.7,0.8,0.75,20000,38000,20000,13000,3500,,,,52,Urban,2024-01-15,Yes,
Bellevue University,Public,,0.7,,,1100,,,24,0.5,0.7,0.6,8000,16000,8000,12000,8000,,,,44,Suburban,Rolling,Yes,
Bellin College of Nursing,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,15000,20000,15000,12000,700,,,,51,Suburban,2024-01-15,Yes,
Belmont Abbey College,Private,,0.5,,,1150,,,24,0.7,0.75,0.8,20000,30000,20000,12000,1200,,,,51,Suburban,2024-01-15,Yes,
Belmont University,Private,,0.6,,,1230,,,27,0.7,0.8,0.7,15000,38000,15000,12000,8000,,,,54,Urban,2024-01-15,Yes,
Beloit College,Private,,0.5,,,1250,,,27,0.7,0.8,0.75,20000,55000,20000,13000,1200,,,,53,Urban,2024-01-15,Yes,
Bemidji State University,Public,,0.6,,,1100,,,25,0.6,0.75,0.65,8000,18000,8000,12000,5000,,,,50,Rural,2024-01-15,Yes,
Benedict College,Private,,0.6,,,1000,,,20,0.5,0.7,0.7,15000,15000,15000,12000,2000,,,,42,Urban,2024-08-01,Yes,
Benedictine College,Private,,0.5,,,1200,,,25,0.7,0.8,0.8,20000,32000,20000,12000,1500,,,,52,Rural,2024-01-15,Yes,
Benedictine University,Private,,0.5,,,1150,,,24,0.65,0.75,0.8,20000,32000,20000,12000,4000,,,,52,Suburban,2024-01-15,Yes,
"Benedictine University, Springfield College in Illinois",Private,,0.5,,,1150,,,24,0.6,0.75,0.7,20000,25000,20000,12000,1500,,,,49,Urban,2024-01-15,Yes,
Bennett College,Private,,0.5,,,1100,,,25,0.6,0.7,0.8,20000,20000,20000,12000,500,,,,49,Urban,2024-01-15,Yes,
Bennington College,Private,,0.2,,,1350,,,30,0.85,0.88,0.75,25000,58000,25000,15000,700,,,,67,Rural,2024-01-15,Yes,
Bentley College,Private,,0.3,,,1300,,,28,0.85,0.9,0.7,20000,50000,20000,15000,5000,,,,66,Suburban,2024-01-15,Yes,
Berea College,Private,,0.4,,,1200,,,25,0.6,0.8,0.7,15000,0,15000,12000,1500,,,,54,Rural,2024-01-15,Yes,
Berean University of the Assemblies of God,Private,,0.6,,,1100,,,25,0.7,0.75,0.8,15000,20000,15000,12000,800,,,,48,Suburban,Rolling,Yes,
Berklee College of Music,Private,,0.25,,,1350,,,30,0.85,0.9,0.75,20000,50000,20000,15000,7000,,,,69,Urban,2024-01-15,Yes,
Berne University,Public,,0.5,,,1200,,,25,0.65,0.75,0.65,8000,25000,8000,12000,8000,,,,54,Suburban,2024-01-15,Yes,
Berry College,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,15000,20000,15000,12000,2000,,,,53,Rural,2024-01-15,Yes,
Beth-El College of Nursing and Health Sciences,Public,,0.5,,,1200,,,25,0.7,0.8,0.6,8000,30000,8000,12000,3000,,,,54,Suburban,2024-01-15,Yes,
Bethany College California,Private,,0.5,,,1150,,,24,0.6,0.7,0.75,20000,30000,20000,12000,700,,,,48,Suburban,2024-01-15,Yes,
Bethany College Kansas,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,600,,,,46,Rural,2024-01-01,Yes,
Bethany College West Virginia,Private,,0.5,,,1100,,,25,0.6,0.7,0.7,20000,30000,20000,12000,700,,,,49,Rural,2024-01-15,Yes,
Bethel College McKenzie,Private,,0.5,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,1000,,,,49,Rural,2024-01-01,Yes,
Bethel College Mishawaka,Private,,0.5,,,1150,,,25,0.6,0.7,0.7,20000,30000,20000,12000,1000,,,,49,Suburban,2024-01-15,Yes,
Bethel College Newton,Private,,0.6,,,1100,,,25,0.6,0.75,0.7,15000,25000,15000,12000,600,,,,46,Rural,2024-01-15,Yes,
Bethel College St. Paul,Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,35000,20000,12000,3000,,,,54,Urban,2024-01-15,Yes,
Bethune-Cookman College,Private,,0.5,,,1050,,,21,0.5,0.7,0.7,15000,15000,15000,12000,4000,,,,47,Urban,2024-01-15,Yes,
Biola University,Private,,0.5,,,1250,,,27,0.7,0.8,0.75,20000,40000,20000,14000,6000,,,,56,Suburban,2024-01-15,Yes,
Birmingham-Southern College,Private,,0.45,,,1200,,,25,0.68,0.78,0.85,20000,20000,20000,12000,1200,,,,53,Urban,2024-01-15,Yes,
Black Hawk College,Public,,0.7,,,1100,,,23,0.6,0.75,0.6,7000,16000,7000,12000,4000,,,,44,Suburban,Rolling,Yes,
