name,college_type,college_years,acceptance_rate_pct,sat_25th_percentile,sat_75th_percentile,sat_50th_percentile,act_25th_percentile,act_75th_percentile,act_50th_percentile,graduation_rate_pct,retention_rate_pct,pct_receiving_aid_pct,avg_after_aid_val,avg_after_aid_costs_val,avg_aid_package_val,avg_housing_cost_val,undergrad_students_num,student_faculty_ratio_num,num_majors_num,college_board_code_num,college_score,setting,rd_due_date,test_optional,gpa_optional
Avila College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Azusa Pacific University,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Babson College,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
Baker College of Auburn Hills,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Baker College of Cadillac,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Baker College of Flint,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Baker College of Mount Clemens,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Baker College of Muskegon,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Baker College of Owosso,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Baker College of Port Huron,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Baker University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Baldwin-Wallace College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Ball State University,,,,,,1120,,,24,,,,,,,,,,,,16,,,Yes,
Baltimore Hebrew University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Baltimore International College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Bank Street College of Education,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Baptist Bible College of Missouri,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Baptist Bible College of Pennsylvania,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Barat College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Barber-Scotia College,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
Barclay College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Bard College,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Bard Graduate Center for Studies in the Decorative Arts,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Barnard College - Columbia University,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Barry University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Bartlesville Wesleyan College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Barton College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bastyr University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Bates College,,,,,,1380,,,32,,,,,,,,,,,,22,,,Yes,
Bauder College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Baylor College of Dentistry,,,,,,1300,,,28,,,,,,,,,,,,19,,,No,
Baylor College of Medicine,,,,,,1450,,,32,,,,,,,,,,,,22,,,No,
Baylor University,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Belhaven College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Bellarmine College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Bellevue University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Bellin College of Nursing,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Belmont Abbey College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Belmont University,,,,,,1230,,,27,,,,,,,,,,,,19,,,Yes,
Beloit College,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Bemidji State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Benedict College,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
Benedictine College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Benedictine University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
"Benedictine University, Springfield College in Illinois",,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Bennett College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bennington College,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Bentley College,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Berea College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Berean University of the Assemblies of God,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Berklee College of Music,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Berne University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Berry College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Beth-El College of Nursing and Health Sciences,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Bethany College California,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Bethany College Kansas,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bethany College West Virginia,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bethel College McKenzie,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bethel College Mishawaka,,,,,,1150,,,25,,,,,,,,,,,,17,,,Yes,
Bethel College Newton,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bethel College St. Paul,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Bethune-Cookman College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Biola University,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Birmingham-Southern College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Black Hawk College,,,,,,1100,,,23,,,,,,,,,,,,16,,,Yes,
Black Hills State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Blackburn College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Blessing-Rieman College of Nursing,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bloomfield College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bloomsburg University of Pennsylvania,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Blue Mountain College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bluefield College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bluefield State College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Bluffton College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Bob Jones University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Boise Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Boise State University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Boricua College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Boston Architectural Center,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Boston College,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
Boston University,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
Bowdoin College,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Bowie State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bowling Green State University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
"Bowling Green State University, Firelands",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bradley University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Brandeis University,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Brandman University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Brenau University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Brescia University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Brevard College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Brewton-Parker College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Breyer State University (Virtual University),,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Briar Cliff College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bridgewater College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Bridgewater State College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Brigham Young University,,,,,,1250,,,27,,,,,,,,,,,,19,,,No,
Brigham Young University,,,,,,1300,,,28,,,,,,,,,,,,19,,,No,
Brigham Young University Hawaii,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Brooklyn Law School,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
Brooks Institute of Photography,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Brown University,,,,,,1480,,,33,,,,,,,,,,,,23,,,Yes,
Brunswick Community College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Bryan College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Bryant and Stratton College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Bryant University,,,,,,1230,,,27,,,,,,,,,,,,19,,,Yes,
Bryn Athyn College of the New Church,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Bryn Mawr College,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Bucknell University,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Buena Vista University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Burlington College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Butler University,,,,,,1230,,,27,,,,,,,,,,,,19,,,Yes,
Cabrini College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Caldwell College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
California Baptist College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
California Coast University,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
California College for Health Sciences,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
California College of Arts and Crafts,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
California College of Podiatric Medicine,,,,,,1200,,,25,,,,,,,,,,,,17,,,No,
California College San Diego,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
California Institute of Integral Studies,,,,,,1200,,,25,,,,,,,,,,,,17,,,Not available,
California Institute of Technology,,,,,,1530,,,34,,,,,,,,,,,,24,,,Required,
California Institute of the Arts,,,,,,1300,,,28,,,,,,,,,,,,19,,,Neither required nor recommended,
California Lutheran University,,,,,,1225,,,28,,,,,,,,,,,,19,,,Considered if submitted,
California State University Maritime Academy,,,,,,1200,,,25,,,,,,,,,,,,17,,,Required,
California Polytechnic State University - San Luis Obispo,,,,,,1350,,,30,,,,,,,,,,,,21,,,No,
California School of Professional Psychology - Berkley/Alameda,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
California School of Professional Psychology - Fresno,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
California School of Professional Psychology - Los Angels,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
California School of Professional Psychology - San Diego,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
California State Polytechnic University - Pomona,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
California State University: Bakersfield,,,,,,1050,,,23,,,,,,,,,,,,16,,,Neither required nor recommended,
California State University: Channel Islands,,,,,,1150,,,24,,,,,,,,,,,,16,,,Required for some,
California State University: Chico,,,,,,1142,,,26,,,,,,,,,,,,18,,,Considered if submitted,
California State University: Dominguez Hills,,,,,,860,,,15,,,,,,,,,,,,10,,,Not available,
California State University: Fresno,,,,,,1055,,,24,,,,,,,,,,,,16,,,Not available,
California State University: Fullerton,,,,,,965,,,26,,,,,,,,,,,,18,,,Neither required nor recommended,
"California State University, Hayward",,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
California State University: Long Beach,,,,,,1230,,,25,,,,,,,,,,,,17,,,Neither required nor recommended,
California State University: Los Angeles,,,,,,948,,,20,,,,,,,,,,,,14,,,Considered if submitted,
California State University: Monterey Bay,,,,,,1060,,,23,,,,,,,,,,,,16,,,Neither required nor recommended,
California State University: Northridge,,,,,,1150,,,19,,,,,,,,,,,,16,,,Required,
California State University: Sacramento,,,,,,990,,,20,,,,,,,,,,,,14,,,Considered if submitted,
"California State University, San Bernadino",,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
California State University: San Marcos,,,,,,975,,,20,,,,,,,,,,,,14,,,Recommended,
"California State University, Stanislaus",,,,,,990,,,18,,,,,,,,,,,,12,,,Neither required nor recommended,
California University of Management and Sciences,,,,,,1100,,,24,,,,,,,,,,,,16,,,Not available,
California University of Pennsylvania,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
California Western School of Law,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Calumet College of St. Joseph,,,,,,1100,,,18,,,,,,,,,,,,15,,,Recommended,
Calvary Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Calvin College,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Cambridge College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Neither required nor recommended,
Cameron University,,,,,,1100,,,18,,,,,,,,,,,,15,,,Required for some,
Campbell University,,,,,,1185,,,22,,,,,,,,,,,,16,,,Recommended,
Campbellsville University,,,,,,1030,,,20,,,,,,,,,,,,14,,,Recommended,
Canisius College,,,,,,1130,,,26,,,,,,,,,,,,18,,,Considered if submitted,
Capella University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Not available,
Capital University,,,,,,1030,,,22,,,,,,,,,,,,15,,,Neither required nor recommended,
Capital University Law School,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
Capitol College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Cardinal Stritch University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Carleton College,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Carlos Albizu University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Carlow College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Carnegie Mellon University,,,,,,1535,,,34,,,,,,,,,,,,24,,,Considered if submitted,
Carroll College Helena,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Carroll College Waukesha,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Carson-Newman College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Carthage College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Case Western Reserve University,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
Castleton State College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Catawba College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Catholic Theological Union,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Cedar Crest College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Cedarville University,,,,,,1240,,,26,,,,,,,,,,,,18,,,Considered if submitted,
Centenary University,,,,,,1100,,,20,,,,,,,,,,,,15,,,Required,
Centenary College of Louisiana,,,,,,1119,,,22,,,,,,,,,,,,15,,,Required for some,
Center for Humanistic Studies,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Central Baptist College,,,,,,965,,,20,,,,,,,,,,,,14,,,Required,
Central Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Central Christian College Of The Bible,,,,,,1010,,,18,,,,,,,,,,,,13,,,Not available,
Central College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Central Connecticut State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Central Methodist University,,,,,,1020,,,20,,,,,,,,,,,,14,,,Required for some,
Central Michigan University,,,,,,1120,,,23,,,,,,,,,,,,16,,,Yes,
Central State University,,,,,,860,,,16,,,,,,,,,,,,11,,,Considered if submitted,
Central Washington University,,,,,,1100,,,20,,,,,,,,,,,,15,,,Required,
Centre College,,,,,,1265,,,29,,,,,,,,,,,,20,,,Considered if submitted,
Chadron State College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Not available,
Chaminade University of Honolulu,,,,,,1150,,,24,,,,,,,,,,,,16,,,Considered if submitted,
Champlain College,,,,,,1255,,,29,,,,,,,,,,,,20,,,Considered if submitted,
Chapman University,,,,,,1345,,,30,,,,,,,,,,,,21,,,Considered if submitted,
Charles R Drew University of Medicine and Science,,,,,,1100,,,25,,,,,,,,,,,,17,,,Considered if submitted,
Charleston Southern University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Charter Oak State College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Not available,
Chatham University,,,,,,1175,,,26,,,,,,,,,,,,18,,,Considered if submitted,
Chestnut Hill College,,,,,,990,,,24,,,,,,,,,,,,16,,,Neither required nor recommended,
Cheyney University of Pennsylvania,,,,,,950,,,20,,,,,,,,,,,,14,,,Required,
Chicago State University,,,,,,1000,,,20,,,,,,,,,,,,14,,,Required for some,
Chowan University,,,,,,875,,,16,,,,,,,,,,,,11,,,Required,
Christendom College,,,,,,1330,,,29,,,,,,,,,,,,20,,,Required for some,
Christian Brothers University,,,,,,578,,,20,,,,,,,,,,,,14,,,Considered if submitted,
Christian Heritage College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Christopher Newport University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Circleville Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
City University,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
City University of New York (CUNY) System,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
City University of New York Medical School / Sophie Davis School of Biomedical Education,,,,,,1350,,,29,,,,,,,,,,,,20,,,Yes,
"City University of New York, Bernard M. Baruch College",,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
"City University of New York, Brooklyn College",,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
"City University of New York, City College",,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
City University of New York: College of Staten Island,,,,,,1100,,,25,,,,,,,,,,,,17,,,Considered if submitted,
"City University of New York, Graduate School and University Center",,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
