name,url,city,state,type,size_category,acceptance_rate,sat_50th_percentile,act_50th_percentile,tuition_in_state,tuition_out_state,room_board,graduation_rate,retention_rate,enrollment,student_faculty_ratio,region,popular_majors,median_earnings_10_years,campus_setting,test_optional,application_deadline_fall,application_fee,average_financial_aid,percent_receiving_aid,transfer_acceptance_rate,latitude,longitude,housing_available,ipeds_id
American Military University,http://www.amunet.edu/,Charles Town,WV,Private For-Profit,Large,0.7,1100,24,6000,6000,12000,0.5,0.7,20000,20,Southeast,"Business Administration, Criminal Justice, Homeland Security",40000,Rural,True,Rolling,50,8000,0.6,0.7,39.2873,-77.8594,True,
American Public University,http://www.apus.edu/,Charles Town,WV,Private For-Profit,Large,0.7,1100,25,6000,12000,12000,0.5,0.7,30000,20,Southeast,"Business Administration, Criminal Justice, Information Technology",45000,Suburban,True,Rolling,50,8000,0.6,0.7,39.2885,-77.8599,True,
American University,http://www.american.edu/,Washington,DC,Private,Medium,0.32,1350,30,52000,52000,15000,0.83,0.89,13000,11,Northeast,"Political Science, International Relations, Business Administration",65000,Urban,True,2024-01-15,70,20000,0.77,0.32,38.89511,-77.04276,True,198100
American World University,http://www.awu.edu/,Los Angeles,CA,Private For-Profit,Medium,0.7,1100,25,15000,15000,12000,0.5,0.7,5000,15,West,"Business Administration, Information Technology, Health Sciences",40000,Urban,True,Rolling,50,8000,0.6,0.7,34.0522,-118.2437,True,
American-European School of Management,http://www.aesom.com/,New York,NY,Private,Medium,0.5,1200,25,25000,25000,12000,0.7,0.8,5000,15,Northeast,"Business Administration, International Relations, Marketing",50000,Urban,True,2024-01-15,50,20000,0.7,0.5,40.7128,-74.006,True,
Amherst College,http://www.amherst.edu/,Amherst,MA,Private,Small,0.1,1450,32,60000,60000,15000,0.93,0.96,1800,10,Northeast,"Economics, Political Science, Psychology",80000,Rural,True,2024-01-01,60,25000,0.8,0.1,42.373611,-72.519722,True,
Anderson College,http://www.anderson-college.edu/,Anderson,SC,Private,Small,0.6,1100,25,20000,20000,12000,0.65,0.75,1500,12,Southeast,"Business Administration, Nursing, Psychology",40000,Suburban,True,2024-01-15,50,15000,0.7,0.6,34.5035,-82.6501,True,
Anderson University,http://www.anderson.edu/,Anderson,IN,Private,Small,0.5,1150,24,30000,30000,12000,0.65,0.75,1500,12,Midwest,"Business, Nursing, Education",45000,Suburban,True,2024-01-15,50,20000,0.7,0.5,40.1056,-85.6704,True,
Andon College - Modesto,http://www.andoncollege.com/,Modesto,CA,Private For-Profit,Small,0.7,1100,25,15000,15000,12000,0.6,0.7,1000,15,West,"Business Administration, Healthcare, Information Technology",40000,Urban,True,Rolling,50,8000,0.6,0.7,37.6391,-120.9969,True,
Andon College - Stockton,http://www.andoncollege.org/,Stockton,CA,Private For-Profit,Small,0.7,1100,25,15000,15000,12000,0.6,0.75,1000,15,West,"Business Administration, Health Sciences, Information Technology",40000,Urban,True,Rolling,50,8000,0.6,0.7,38.0079,-121.3153,True,
Andrew Jackson University,http://www.aju.edu/,Birmingham,AL,Private For-Profit,Small,0.7,1100,25,15000,15000,12000,0.6,0.7,1000,15,Southeast,"Business Administration, Criminal Justice, Health Sciences",40000,Urban,True,Rolling,50,8000,0.6,0.7,33.5207,-86.8025,True,
Andrews University,http://www.andrews.edu/,Berrien Springs,MI,Private,Small,0.5,1200,25,30000,30000,12000,0.7,0.8,3000,12,Midwest,"Nursing, Business, Education",50000,Rural,True,2024-01-15,50,20000,0.7,0.5,41.9453,-86.3446,True,
Angelo State University,http://www.angelo.edu/,San Angelo,TX,Public,Medium,0.6,1100,25,8000,20000,12000,0.5,0.7,10000,18,Southwest,"Business Administration, Psychology, Nursing",45000,Urban,True,2024-01-15,50,8000,0.6,0.6,31.4416,-100.4665,True,Texas Tech University System
Anna Maria College,http://www.anna-maria.edu/,Paxton,MA,Private,Small,0.5,1100,25,35000,35000,13000,0.7,0.75,1200,12,Northeast,"Nursing, Psychology, Business Administration",45000,Suburban,True,2024-01-15,50,20000,0.8,0.5,42.3038,-71.8532,True,
Antioch New England Graduate School,http://www.antiochne.edu/,Keene,NH,Private,Small,0.5,1200,25,25000,25000,12000,0.7,0.8,800,12,Northeast,"Environmental Studies, Psychology, Education",45000,Rural,True,2024-01-15,50,20000,0.75,0.5,42.9334,-72.2808,True,
Antioch University,http://www.antioch.edu/,Yellow Springs,OH,Private,Small,0.5,1150,24,20000,20000,12000,0.6,0.75,1000,12,Midwest,"Psychology, Education, Environmental Studies",40000,Rural,True,2024-01-15,50,20000,0.7,0.5,39.7975,-83.8838,True,
Antioch University Los Angeles,http://www.antiochla.edu/,Los Angeles,CA,Private,Small,0.5,1150,24,25000,25000,12000,0.6,0.75,1000,12,West,"Psychology, Business Administration, Creative Writing",45000,Urban,True,2024-01-15,50,20000,0.7,0.5,34.0522,-118.2437,True,
Antioch University Santa Barbara,http://www.antiochsb.edu/,Santa Barbara,CA,Private,Small,0.6,1200,25,25000,25000,12000,0.7,0.75,500,12,West,"Psychology, Business Administration, Environmental Studies",45000,Urban,True,Rolling,50,20000,0.8,0.6,34.4208,-119.6982,True,
Antioch University Seattle,http://www.antiochsea.edu/,Seattle,WA,Private,Small,0.5,1200,25,20000,20000,12000,0.7,0.8,1000,12,West,"Psychology, Education, Business",50000,Urban,True,2024-01-15,50,20000,0.7,0.5,47.6097,-122.3331,True,
Appalachian Bible College,http://www.appbibco.edu/,Beaver,WV,Private,Small,0.6,1100,25,20000,20000,12000,0.7,0.8,500,12,Southeast,"Theology, Biblical Studies, Christian Education",40000,Rural,True,2024-01-15,50,20000,0.8,0.6,38.3033,-81.1895,True,
Appalachian State University,http://www.appstate.edu/,Boone,NC,Public,Medium,0.65,1220,25,7500,20000,12000,0.66,0.85,19000,18,Southeast,"Business, Education, Health Sciences",45000,Rural,True,2024-01-15,65,8000,0.6,0.65,36.2168,-81.6746,True,199120
Aquinas College,http://www.aquinas.edu/,Grand Rapids,MI,Private,Small,0.5,1150,24,34000,34000,12000,0.6,0.75,1500,12,Midwest,"Business Administration, Psychology, Education",45000,Urban,True,2024-01-15,50,20000,0.7,0.5,42.9634,-85.6685,True,
Arcadia University,http://www.arcadia.edu/,Glenside,PA,Private,Medium,0.5,1200,25,45000,45000,13000,0.7,0.8,4500,12,Northeast,"Business Administration, Psychology, Education",50000,Suburban,True,2024-01-15,50,20000,0.7,0.5,40.0945,-75.1456,True,
Argosy University,http://www.argosy.edu/,Phoenix,AZ,Private For-Profit,Medium,0.7,1100,25,20000,20000,12000,0.6,0.7,5000,15,West,"Psychology, Business Administration, Health Sciences",40000,Urban,True,Rolling,50,20000,0.8,0.7,33.4484,-112.074,True,
Argosy University - Hawaii,http://www.argosyu.edu/,Honolulu,HI,Private For-Profit,Small,0.7,1100,25,20000,20000,12000,0.6,0.7,1500,15,West,"Psychology, Business Administration, Health Sciences",40000,Urban,True,Rolling,50,15000,0.8,0.7,21.3069,-157.8583,True,
Arizona Christian University,http://www.arizonachristian.edu,Phoenix,AZ,Private,Small,0.5,1150,24,20000,20000,12000,0.65,0.75,1000,12,West,"Business Administration, Psychology, Education",45000,Suburban,True,2024-01-15,50,15000,0.7,0.5,33.4484,-112.074,True,
Arizona State University,http://www.asu.edu/,Tempe,AZ,Public,Large,0.85,1200,25,11000,32000,13000,0.66,0.86,52000,19,West,"Business, Engineering, Health Sciences",60000,Urban,True,2024-01-01,70,8000,0.65,0.85,33.4255,-111.94,True,100002
"Arizona State University, Downtown Phoenix Campus",https://campus.asu.edu/downtown,Phoenix,AZ,Public,Large,0.85,1150,24,10000,30000,15000,0.7,0.8,10000,18,West,"Business, Nursing, Education",60000,Urban,True,2024-05-01,70,12000,0.75,0.7,33.4484,-112.074,True,null
"Arizona State University, Polytechnic Campus",https://campus.asu.edu/polytechnic,Mesa,AZ,Public,Medium,0.65,1200,25,10500,30500,13000,0.65,0.8,8000,18,West,"Engineering, Business, Technology",55000,Suburban,True,2024-01-01,70,8000,0.65,0.65,33.3519,-111.789,True,
"Arizona State University, Tempe Campus",https://campus.asu.edu/tempe,Tempe,AZ,Public,Large,0.85,1300,28,10000,30000,12000,0.68,0.85,50000,20,West,"Business, Engineering, Biological Sciences",60000,Suburban,True,2024-01-01,70,8000,0.65,0.85,33.4255,-111.94,True,100200
"Arizona State University, West Campus",https://campus.asu.edu/west,Phoenix,AZ,Public,Medium,0.65,1150,24,10500,30000,12000,0.58,0.75,6000,18,West,"Business Administration, Nursing, Education",45000,Urban,True,2024-01-01,70,8000,0.65,0.65,33.6194,-112.1831,True,100121
Arkansas State University,http://www.astate.edu/,Jonesboro,AR,Public,Large,0.65,1100,24,9500,22000,12000,0.54,0.76,14000,18,Southeast,"Business Administration, Nursing, Education",42000,Rural,True,2024-08-01,50,8000,0.65,0.65,35.8423,-90.7048,True,001097
"Arkansas State University, Beebe",http://www.asub.edu/,Beebe,AR,Public,Small,0.7,1050,21,6000,12000,12000,0.5,0.7,1500,15,Southeast,"Business, Nursing, General Studies",40000,Rural,True,Rolling,50,7000,0.6,0.7,35.0522,-91.8881,True,
"Arkansas State University, Mountain Home",http://www.asumh.edu/,Mountain Home,AR,Public,Small,0.7,1050,21,6000,12000,12000,0.55,0.75,1500,15,Southeast,"Nursing, Business Administration, Education",40000,Rural,True,Rolling,50,7000,0.6,0.7,36.3351,-92.3879,True,
"Arkansas State University, Newport",http://www.asun.edu/,Newport,AR,Public,Small,0.7,1050,21,4000,12000,12000,0.5,0.7,1200,15,Southeast,"Nursing, Business, General Studies",40000,Rural,True,Rolling,50,8000,0.6,0.7,35.6096,-91.2678,True,
Arkansas Tech University,http://www.atu.edu/,Russellville,AR,Public,Medium,0.65,1100,24,8000,20000,12000,0.55,0.75,10000,18,Southeast,"Business Administration, Nursing, Engineering",45000,Rural,True,2024-08-01,50,8000,0.6,0.65,35.2694,-93.1313,True,001092
Arlington Baptist College,http://www.abconline.edu/,Arlington,TX,Private,Small,0.7,1100,24,20000,20000,12000,0.6,0.7,500,12,Southwest,"Theology, Business Administration, Education",40000,Suburban,True,Rolling,50,15000,0.8,0.7,32.7357,-97.1081,True,
Armstrong Atlantic State University,http://www.armstrong.edu/,Savannah,GA,Public,Medium,0.6,1100,25,8000,24000,12000,0.5,0.7,6000,18,Southeast,"Business Administration, Nursing, Biology",45000,Urban,True,2024-01-01,50,8000,0.6,0.6,32.0836,-81.0998,True,
Armstrong University,http://www.armstrong-u.edu/,Savannah,GA,Public,Medium,0.5,1150,24,8000,20000,12000,0.6,0.75,7000,18,Southeast,"Business Administration, Nursing, Biology",45000,Urban,True,2024-01-01,50,8000,0.65,0.5,32.0836,-81.0998,True,
Art Academy of Cincinnati,http://www.artacademy.edu/,Cincinnati,OH,Private,Small,0.5,1150,24,30000,30000,12000,0.6,0.75,300,10,Midwest,"Fine Arts, Graphic Design, Illustration",40000,Urban,True,2024-01-15,50,20000,0.7,0.5,39.1031,-84.512,True,
Art Center College of Design,http://www.artcenter.edu/,Pasadena,CA,Private,Small,0.2,1400,32,50000,50000,15000,0.85,0.9,2000,10,West,"Industrial Design, Graphic Design, Fine Arts",60000,Urban,True,2024-01-01,70,20000,0.8,0.2,34.1478,-118.1445,True,
Art Institute of Charlotte,http://www.aich.artinstitutes.edu/,Charlotte,NC,Private For-Profit,Small,0.6,1100,25,20000,20000,12000,0.6,0.7,1500,15,Southeast,"Culinary Arts, Graphic Design, Fashion Design",40000,Urban,True,Rolling,50,15000,0.7,0.6,35.2271,-80.8431,True,
Art Institute of Southern California,http://www.aisc.edu/,Los Angeles,CA,Private For-Profit,Small,0.7,1100,24,20000,20000,12000,0.6,0.75,1500,15,West,"Graphic Design, Fashion Design, Culinary Arts",40000,Urban,True,Rolling,50,15000,0.7,0.7,34.0522,-118.2437,True,
Arthur D. Little Management Education Institute,http://www.adlsom.edu/,Cambridge,MA,Private,Small,0.3,1300,28,40000,40000,15000,0.85,0.9,1500,12,Northeast,"Business Administration, Management, Finance",70000,Urban,True,2024-01-15,50,20000,0.7,0.3,42.373611,-71.109733,True,
Asbury College,http://www.asbury.edu/,Wilmore,KY,Private,Small,0.5,1150,24,32000,32000,12000,0.65,0.75,1200,12,Southeast,"Business Administration, Education, Psychology",40000,Rural,True,2024-01-15,50,15000,0.7,0.5,37.8775,-84.6613,True,
Ashland University,http://www.ashland.edu/,Ashland,OH,Private,Medium,0.5,1150,24,30000,30000,12000,0.6,0.75,4000,14,Midwest,"Business Administration, Psychology, Education",45000,Suburban,True,2024-01-15,50,10000,0.7,0.5,40.8685,-82.3164,True,
Assumption College,http://www.assumption.edu/,Worcester,MA,Private,Small,0.5,1200,25,45000,45000,13000,0.7,0.8,2000,12,Northeast,"Business, Psychology, Education",50000,Urban,True,2024-01-15,50,20000,0.8,0.5,42.2626,-71.8023,True,
Athenaeum of Ohio,http://www.mtsm.org/,Cincinnati,OH,Private,Small,0.5,1200,25,20000,20000,12000,0.75,0.85,500,12,Midwest,"Theology, Philosophy, Education",40000,Urban,True,2024-01-15,50,20000,0.7,0.5,39.1384,-84.5114,True,
Athens State College,http://www.athens.edu/,Athens,AL,Public,Small,0.7,1100,24,8000,20000,12000,0.5,0.7,3000,15,Southeast,"Business Administration, Education, Psychology",40000,Rural,True,2024-07-01,50,8000,0.6,0.7,34.7998,-86.9752,True,
Atlanta Christian College,http://www.acc.edu/,East Point,GA,Private,Small,0.6,1100,25,20000,20000,12000,0.7,0.75,800,12,Southeast,"Business Administration, Psychology, Education",40000,Suburban,True,2024-01-15,50,15000,0.7,0.6,33.6578,-84.4331,True,
Atlanta College of Art,http://www.aca.edu/,Atlanta,GA,Private,Small,0.5,1200,25,25000,25000,12000,0.7,0.8,1000,12,Southeast,"Fine Arts, Graphic Design, Photography",45000,Urban,True,2024-01-15,50,20000,0.75,0.5,33.749,-84.388,True,
Atlantic International University,http://www.aiu.edu/,Honolulu,HI,Private For-Profit,Small,0.7,1100,24,20000,20000,12000,0.6,0.7,1000,15,West,"Business Administration, Psychology, Information Technology",40000,Urban,True,Rolling,50,10000,0.7,0.7,21.3069,-157.8583,True,
Atlantic Union College,http://www.atlanticuc.edu/,South Lancaster,MA,Private,Small,0.6,1150,24,20000,20000,12000,0.7,0.75,800,12,Northeast,"Business, Nursing, Education",45000,Suburban,True,2024-01-15,50,20000,0.8,0.6,42.3665,-71.6174,True,
Atlantic University,http://www.atlanticuniv.edu/,Atlantic City,NJ,Private,Medium,0.5,1200,25,25000,25000,12000,0.7,0.8,5000,15,Northeast,"Business Administration, Psychology, Biology",45000,Urban,True,2024-01-15,50,20000,0.7,0.5,39.3643,-74.4229,True,
Auburn University,http://www.auburn.edu/,Auburn,AL,Public,Large,0.8,1230,27,11000,31000,13000,0.7,0.88,30000,18,Southeast,"Engineering, Business, Education",60000,Suburban,True,2024-01-15,50,8500,0.6,0.8,32.601,-85.4808,True,100141
Auburn University at Montgomery,http://www.aum.edu/,Montgomery,AL,Public,Medium,0.6,1100,25,9000,18000,12000,0.5,0.7,5000,15,Southeast,"Business Administration, Nursing, Criminal Justice",40000,Urban,True,2024-08-01,50,7000,0.6,0.6,32.3668,-86.3,True,
Audrey Cohen College,http://www.audrey-cohen.edu/,New York,NY,Private For-Profit,Small,0.7,1100,25,20000,20000,12000,0.6,0.7,1000,15,Northeast,"Business Administration, Health Services, Culinary Arts",40000,Urban,True,Rolling,50,15000,0.7,0.7,40.7128,-74.006,True,
Augsburg College,http://www.augsburg.edu/,Minneapolis,MN,Private,Small,0.5,1150,25,40000,40000,13000,0.6,0.75,3000,12,Midwest,"Business Administration, Psychology, Nursing",45000,Urban,True,2024-01-15,50,25000,0.75,0.5,44.9784,-93.265,True,
Augusta State University,http://www.aug.edu/,Augusta,GA,Public,Medium,0.6,1100,25,8000,22000,12000,0.55,0.75,7000,18,Southeast,"Nursing, Business Administration, Psychology",45000,Urban,True,2024-01-01,50,7000,0.6,0.6,33.4707,-81.9748,True,
